warn message-400.4015922546387-game_logic-30-1456369887.4004016-2016-02-25 11:11:27,400-TEST-LOG-WARNING-warn message-game_logic.py
error message-401.4017581939697-game_logic-40-1456369887.4014018-2016-02-25 11:11:27,401-TEST-LOG-ERROR-error message-game_logic.py
critical message-401.4017581939697-game_logic-50-1456369887.4014018-2016-02-25 11:11:27,401-TEST-LOG-CRITICAL-critical message-game_logic.py
warn message-775.5923271179199-game_logic-30-1456370115.7755923-2016-02-25 11:15:15,775-TEST-LOG-WARNING-warn message-game_logic.py
error message-775.5923271179199-game_logic-40-1456370115.7755923-2016-02-25 11:15:15,775-TEST-LOG-ERROR-error message-game_logic.py
critical message-776.592493057251-game_logic-50-1456370115.7765925-2016-02-25 11:15:15,776-TEST-LOG-CRITICAL-critical message-game_logic.py
2016-02-25 11:17:31,558-TEST-LOG-WARNING-warn message-game_logic.py
2016-02-25 11:17:31,558-TEST-LOG-ERROR-error message-game_logic.py
2016-02-25 11:17:31,559-TEST-LOG-CRITICAL-critical message-game_logic.py
2016-02-25 11:24:58,791-TEST_LOG-WARNING-warn message-game_logic.py
2016-02-25 11:24:58,791-TEST_LOG-ERROR-error message-game_logic.py
2016-02-25 11:24:58,791-TEST_LOG-CRITICAL-critical message-game_logic.py
2016-02-25 11:28:00,435-TEST_LOG-WARNING-warn message-game_logic.py
2016-02-25 11:28:00,435-TEST_LOG-ERROR-error message-game_logic.py
2016-02-25 11:28:00,435-TEST_LOG-CRITICAL-critical message-game_logic.py
2016-02-25 11:39:16,757-TEST_LOG-WARNING-warn message-game_logic.py
2016-02-25 11:39:16,758-TEST_LOG-ERROR-error message-game_logic.py
2016-02-25 11:39:16,758-TEST_LOG-CRITICAL-critical message-game_logic.py
2016-02-25 11:40:59,236-TEST_LOG-CRITICAL-critical message-game_logic.py
2016-02-25 14:15:01,574-TEST_LOG-CRITICAL-critical message-game_logic.py
2016-02-25 14:16:40,572-TEST_LOG-CRITICAL-critical message-game_logic.py
2016-02-25 14:22:39,105-TEST_LOG-CRITICAL-critical message-game_logic.py
2016-02-25 14:23:53,928-TEST_LOG-CRITICAL-critical message-game_logic.py
2016-02-25 14:26:07,696-TEST_LOG-CRITICAL-critical message-game_logic.py
2016-02-25 14:26:56,031-TEST_LOG-CRITICAL-critical message-game_logic.py
2016-02-25 14:27:59,527-TEST_LOG-CRITICAL-critical message-game_logic.py
2016-02-25 14:29:48,437-TEST_LOG-CRITICAL-critical message-game_logic.py
